                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 2.2059,                 1.4603,                 2.6269,                  0.758,                0.65674,                0.78185,                0.42833,                 3.3171,                 2.4924,                 3.5494,              0.0010694,              0.0010694,              0.0010694
                     49,                 2.1699,                 1.4274,                 2.6028,                0.70794,                0.65922,                0.72798,                0.37392,                  3.577,                 2.5751,                 3.6682,              0.0010496,              0.0010496,              0.0010496
                     50,                  2.158,                 1.4142,                 2.5979,                0.78154,                0.71795,                0.81533,                0.45832,                 3.3104,                 2.1987,                 3.5354,              0.0010298,              0.0010298,              0.0010298
                     51,                 2.1593,                 1.3956,                 2.6054,                0.80336,                0.77719,                0.86191,                0.48453,                 3.2848,                  1.743,                 3.4913,                0.00101,                0.00101,                0.00101
                     52,                 2.1557,                 1.3896,                 2.6108,                0.77132,                0.76592,                0.84859,                0.48596,                 3.1207,                 1.8368,                 3.4563,              0.0009902,              0.0009902,              0.0009902
                     53,                  2.127,                 1.3749,                 2.5877,                0.84751,                0.79986,                0.87835,                0.48746,                  3.252,                 1.6832,                  3.423,              0.0009704,              0.0009704,              0.0009704
                     54,                 2.1254,                 1.3659,                 2.5758,                0.77744,                0.67033,                0.78015,                0.43725,                 3.1647,                 2.3744,                 3.4547,              0.0009506,              0.0009506,              0.0009506
                     55,                 2.1244,                 1.3628,                 2.5795,                0.78584,                0.75269,                0.83754,                0.48482,                 3.1242,                 1.9217,                 3.3729,              0.0009308,              0.0009308,              0.0009308
                     56,                 2.1038,                 1.3552,                 2.5705,                0.77181,                0.55335,                0.71334,                0.40594,                  3.129,                 2.9762,                 3.3272,               0.000911,               0.000911,               0.000911
                     57,                  2.084,                 1.3347,                 2.5569,                0.85387,                0.75395,                0.85804,                0.47063,                 3.2953,                 1.8118,                 3.4551,              0.0008912,              0.0008912,              0.0008912
                     58,                 2.1149,                 1.3332,                  2.567,                0.70662,                0.54012,                0.64804,                0.37555,                 3.2588,                 3.3127,                 3.4494,              0.0008714,              0.0008714,              0.0008714
                     59,                 2.0752,                 1.2951,                 2.5416,                0.79111,                0.66409,                0.77498,                0.44234,                 3.2391,                 2.3358,                 3.3967,              0.0008516,              0.0008516,              0.0008516
                     60,                 2.0539,                 1.2955,                 2.5327,                0.78004,                0.68933,                0.81265,                 0.4577,                 3.3904,                 2.4234,                 3.5377,              0.0008318,              0.0008318,              0.0008318
                     61,                 2.0492,                 1.2617,                  2.513,                0.78754,                0.65426,                0.78823,                0.45617,                 3.1435,                 2.4421,                  3.365,               0.000812,               0.000812,               0.000812
                     62,                 2.0576,                 1.3154,                  2.533,                0.81606,                0.65757,                0.78916,                0.43426,                 3.3573,                 2.3533,                 3.4694,              0.0007922,              0.0007922,              0.0007922
                     63,                 2.0292,                 1.2796,                 2.5266,                0.86327,                0.71547,                0.82946,                0.47954,                 3.1905,                 2.2353,                 3.3784,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.9985,                 1.2395,                 2.5103,                0.81024,                0.78577,                0.86072,                0.48214,                 3.3843,                 1.8887,                 3.5032,              0.0007526,              0.0007526,              0.0007526
                     65,                 2.0075,                  1.241,                 2.5027,                0.78711,                 0.7957,                0.85931,                0.47679,                 3.2537,                 1.8722,                 3.4828,              0.0007328,              0.0007328,              0.0007328
                     66,                 2.0086,                 1.2505,                 2.5142,                0.80359,                0.72126,                  0.825,                0.44281,                 3.4852,                 2.3858,                 3.6342,               0.000713,               0.000713,               0.000713
                     67,                  2.007,                 1.2178,                 2.4894,                0.80289,                0.76344,                0.85302,                0.48473,                 3.2301,                 1.9803,                 3.4482,              0.0006932,              0.0006932,              0.0006932
                     68,                 2.0012,                 1.2616,                 2.5079,                0.83448,                0.75434,                 0.8651,                0.49524,                 3.1776,                  1.955,                 3.4099,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.9659,                  1.218,                  2.477,                0.78536,                0.65977,                0.79441,                0.46227,                 3.2402,                 2.6968,                 3.4499,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.9832,                 1.2112,                 2.4903,                0.84354,                0.78483,                0.86709,                0.49711,                 3.2079,                 1.8978,                 3.5204,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.9674,                 1.2012,                 2.4784,                 0.8442,                0.77538,                0.86766,                0.50525,                 3.0348,                 1.9384,                 3.4494,               0.000614,               0.000614,               0.000614
                     72,                 1.9196,                 1.1871,                 2.4506,                0.73858,                0.68936,                0.78107,                0.45067,                 3.2336,                 2.5818,                 3.5159,              0.0005942,              0.0005942,              0.0005942
                     73,                  1.959,                 1.1927,                 2.4821,                0.75935,                0.62901,                0.73935,                0.42769,                 3.1452,                 2.8801,                 3.4772,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.9019,                 1.1944,                 2.4399,                0.82124,                0.69313,                 0.8197,                 0.4787,                 3.1761,                 2.2854,                 3.4267,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.9226,                 1.1843,                 2.4448,                0.74184,                0.64888,                0.74745,                0.43305,                 3.4395,                 2.9115,                 3.5974,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.8834,                  1.169,                 2.4339,                0.78326,                0.79213,                0.85618,                0.48684,                 3.2537,                 1.9002,                 3.4733,               0.000515,               0.000515,               0.000515
                     77,                  1.881,                 1.1411,                 2.4236,                0.75085,                 0.7651,                0.83148,                 0.4672,                 3.2772,                 2.0206,                 3.5208,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.8567,                 1.1197,                 2.4122,                0.72672,                0.68652,                 0.7804,                0.43869,                  3.361,                 2.6008,                 3.5747,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.8722,                 1.1404,                 2.4204,                0.72982,                0.71629,                0.79174,                0.46122,                 3.0768,                 2.2719,                 3.3745,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.8681,                 1.1276,                 2.4158,                0.74315,                0.73697,                0.80799,                 0.4806,                 3.0742,                 2.2984,                 3.3855,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.8205,                  1.091,                 2.3984,                 0.7929,                 0.7062,                0.82264,                0.47488,                 3.1318,                 2.1431,                 3.4388,               0.000416,               0.000416,               0.000416
                     82,                 1.8574,                 1.1186,                 2.4153,                0.75117,                0.75269,                0.83139,                0.48032,                 3.2174,                 2.1549,                 3.4931,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.8225,                  1.115,                 2.3866,                0.76262,                 0.7072,                0.80593,                0.47189,                 3.0514,                 2.3547,                  3.381,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.8266,                 1.1203,                 2.3872,                0.73886,                0.75682,                0.81586,                0.47766,                 3.1884,                 2.2724,                 3.4451,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.8255,                  1.123,                 2.3848,                0.72281,                0.63193,                 0.7344,                0.42223,                 3.3636,                 3.0142,                 3.5779,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.8043,                 1.0827,                  2.371,                0.80433,                0.74462,                0.83711,                0.49325,                 3.0826,                 2.2156,                 3.4104,               0.000317,               0.000317,               0.000317
                     87,                 1.8034,                 1.0882,                  2.371,                0.79162,                0.69758,                0.81449,                0.47774,                 3.1541,                 2.3629,                 3.4221,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.7758,                  1.071,                 2.3567,                0.82014,                0.73926,                0.84422,                0.49643,                 3.0986,                 2.0991,                 3.3557,              0.0002774,              0.0002774,              0.0002774
                     89,                  1.797,                 1.0836,                  2.373,                0.79261,                0.77451,                0.85062,                0.49292,                  3.191,                 2.0779,                 3.4578,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.7859,                 1.0671,                 2.3583,                0.76384,                0.73449,                 0.8147,                0.46377,                 3.3265,                 2.3843,                 3.5492,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.6255,                0.82244,                 2.2823,                0.77014,                0.68983,                0.79456,                0.45071,                 3.2983,                 2.4333,                 3.5049,               0.000218,               0.000218,               0.000218
                     92,                 1.5813,                0.76202,                 2.2594,                0.79448,                 0.7469,                0.83415,                0.46843,                 3.2654,                 2.0901,                 3.4795,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.5749,                 0.7641,                 2.2631,                0.76101,                0.67688,                0.79017,                0.44245,                 3.3118,                 2.5965,                 3.5148,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.5285,                0.73938,                 2.2282,                0.76256,                0.70141,                0.80005,                0.44508,                 3.4109,                 2.4379,                 3.5682,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.5349,                0.74708,                 2.2353,                0.74722,                0.69927,                0.78254,                0.45139,                 3.2381,                  2.651,                 3.4772,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.5299,                0.72253,                 2.2093,                0.76936,                0.71299,                0.81348,                0.47011,                 3.2053,                 2.4618,                 3.4436,               0.000119,               0.000119,               0.000119
                     97,                 1.5135,                0.71564,                 2.2197,                0.81473,                0.70201,                0.82645,                0.48273,                 3.1723,                 2.4039,                 3.4279,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.4878,                0.70186,                  2.202,                0.80442,                 0.7196,                0.82832,                0.48049,                 3.2012,                 2.4158,                 3.4393,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                  1.489,                0.70248,                 2.2103,                 0.7821,                0.71712,                0.82555,                 0.4803,                 3.2043,                  2.406,                 3.4296,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.4781,                0.70816,                 2.1964,                0.76914,                0.71922,                0.81696,                0.47814,                 3.2089,                 2.4731,                 3.4371,               3.98e-05,               3.98e-05,               3.98e-05
